Date,Adj.Close,Volume,Open,High,Low
06/03/22,119.83,4584611.00,118.07,121.50,117.56
06/02/22,121.26,5177244.00,117.13,123.00,116.27
06/01/22,116.72,6879606.00,121.05,121.07,114.40
05/31/22,120.87,9117555.00,120.50,122.30,117.16
05/27/22,120.50,7391500.00,116.00,120.70,115.77
05/26/22,114.30,6883200.00,109.74,115.55,108.11
05/25/22,110.40,6203324.00,105.89,111.94,104.97
05/24/22,106.24,6415752.00,111.28,111.42,103.74
05/23/22,113.28,6000751.00,113.55,115.15,110.93
05/20/22,112.55,6961860.00,115.46,116.25,108.50
05/19/22,114.17,8926616.00,108.18,116.35,107.45
05/18/22,108.03,9718744.00,116.11,117.04,107.62
05/17/22,117.50,6962904.00,119.97,120.18,114.51
05/16/22,114.44,7588370.00,121.00,121.07,113.25
05/13/22,121.45,8595379.00,119.96,123.29,118.82
05/12/22,115.94,9264303.00,113.66,120.49,111.22
05/11/22,116.15,13661360.00,114.53,123.77,112.37
05/10/22,116.13,13638470.00,122.95,123.46,113.53
05/09/22,119.37,14430890.00,131.76,131.89,118.83
05/06/22,135.84,9573058.00,142.70,143.11,133.04
05/05/22,143.09,11367230.00,152.19,153.88,140.86
05/04/22,156.18,20598070.00,152.55,158.74,145.87
05/03/22,145.00,16774660.00,154.09,154.49,141.58
05/02/22,152.78,5945287.00,153.21,155.13,147.21
04/29/22,153.21,4033057.00,158.88,163.24,153.00
04/28/22,159.74,4854490.00,154.01,161.26,153.66
04/27/22,152.23,4825954.00,153.82,157.30,150.44
04/26/22,153.04,4075004.00,158.40,159.20,152.80
04/25/22,158.39,3868115.00,154.33,159.79,152.10
04/22/22,156.09,3863419.00,157.84,161.67,154.78
04/21/22,157.91,4714572.00,168.98,170.93,156.68
04/20/22,164.55,3997912.00,172.61,172.61,164.31
04/19/22,170.12,2857124.00,165.74,170.82,165.71
04/18/22,165.74,3339887.00,169.27,170.12,164.35
04/14/22,170.70,5125142.00,171.66,174.64,170.30
04/13/22,171.85,7211893.00,160.84,172.96,160.65
04/12/22,160.11,4113036.00,163.70,166.11,157.28
04/11/22,160.25,3877215.00,159.84,163.57,157.41
04/08/22,162.56,3448377.00,162.52,164.90,159.35
04/07/22,165.91,4146557.00,163.19,167.86,161.71
04/06/22,164.66,4287691.00,167.05,168.77,161.58
04/05/22,171.21,4064959.00,177.19,179.09,170.12
04/04/22,177.02,3500522.00,175.02,177.02,172.59
04/01/22,173.07,3644935.00,173.06,177.94,172.23
03/31/22,171.76,3232222.00,173.54,176.15,171.16
03/30/22,173.63,3707406.00,173.13,176.82,172.02
03/29/22,175.52,5452762.00,172.11,178.88,171.81
03/28/22,167.65,3829793.00,167.22,168.72,162.43
03/25/22,167.22,2956870.00,169.94,170.61,164.13
03/24/22,170.83,4223466.00,164.81,171.00,162.67
03/23/22,164.16,2814305.00,163.64,166.89,162.88
03/22/22,166.44,4099851.00,163.61,168.18,162.00
03/21/22,161.80,4584370.00,164.57,165.95,159.00
03/18/22,167.00,8467518.00,156.07,167.18,155.70
03/17/22,157.55,5031682.00,153.79,157.60,151.05
03/16/22,155.75,7105370.00,148.15,156.98,146.31
03/15/22,143.95,5488743.00,140.00,144.73,138.32
03/14/22,138.50,6330206.00,143.41,144.67,136.04
03/11/22,145.14,4577255.00,154.13,155.00,145.00
03/10/22,151.80,5302511.00,145.22,152.89,144.41
03/09/22,148.31,7023908.00,145.43,150.99,145.33
03/08/22,142.13,9586994.00,131.63,144.47,131.50
03/07/22,131.59,9177270.00,145.00,145.27,131.52
03/04/22,142.70,8397063.00,150.77,151.89,140.46
03/03/22,151.69,4045757.00,158.33,159.22,150.99
03/02/22,157.53,5028250.00,152.48,158.08,151.89
03/01/22,151.01,5165768.00,150.53,154.22,149.95
02/28/22,151.49,11078500.00,155.03,155.10,148.30
02/25/22,155.09,6173207.00,159.26,159.45,152.91
02/24/22,158.26,10354650.00,141.30,158.96,141.18
02/23/22,150.04,9778477.00,165.93,166.66,149.85
02/22/22,165.24,8392599.00,172.13,176.38,161.32
02/18/22,174.90,8848753.00,180.26,182.66,173.62
02/17/22,183.60,7779201.00,184.90,188.98,181.54
02/16/22,186.64,22252850.00,178.30,191.73,178.00
02/15/22,180.07,11733940.00,172.92,180.63,172.75
02/14/22,169.66,4847552.00,166.63,171.80,165.03
02/11/22,166.53,6464397.00,175.31,176.74,164.83
02/10/22,171.95,8261379.00,165.25,177.06,165.25
02/09/22,169.53,4868311.00,165.37,170.07,165.08
02/08/22,162.26,4309070.00,154.00,163.08,153.44
02/07/22,157.91,4690668.00,156.79,160.88,155.95
02/04/22,155.56,4687701.00,150.14,157.24,150.00
02/03/22,149.57,4577057.00,147.97,152.18,146.68
02/02/22,151.76,3678315.00,156.31,156.51,150.71
02/01/22,156.94,3799303.00,155.35,157.39,152.50
01/31/22,153.97,5463016.00,144.80,153.97,143.81
01/28/22,142.77,5604415.00,138.55,143.11,134.37
01/27/22,138.41,4493776.00,143.48,145.55,137.92
01/26/22,142.14,6990314.00,149.29,152.40,140.04
01/25/22,144.56,5704888.00,143.90,147.38,140.13
01/24/22,147.90,14627350.00,150.00,151.16,135.76
01/21/22,156.73,7242250.00,156.82,160.20,152.41
01/20/22,158.00,4941879.00,157.81,165.20,157.35
01/19/22,154.58,5127374.00,157.00,160.23,154.44
01/18/22,154.69,5814071.00,156.91,160.79,153.87
01/14/22,163.99,4144039.00,165.75,167.63,160.24
01/13/22,166.00,4893757.00,170.23,171.99,165.77
01/12/22,169.54,3534275.00,170.24,171.04,165.11
01/11/22,168.61,5331629.00,160.71,169.39,159.08
01/10/22,160.71,6973588.00,159.76,161.70,152.10
01/07/22,166.05,5624579.00,159.18,166.88,158.46
01/06/22,159.75,5049594.00,160.29,163.73,156.34
01/05/22,162.25,4804571.00,169.88,175.11,162.24
01/04/22,170.80,4079976.00,174.15,175.90,167.20
01/03/22,172.68,4241965.00,165.30,172.84,165.22
12/31/21,166.49,2595979.00,168.78,170.87,166.08
12/30/21,168.78,2181120.00,167.06,170.85,165.71
12/29/21,167.44,1995405.00,169.52,170.48,165.02
12/28/21,169.71,2297204.00,171.32,172.73,167.73
12/27/21,171.68,2726288.00,169.81,172.43,168.78
12/23/21,171.31,4017435.00,170.50,171.99,166.89
12/22/21,169.29,4802483.00,165.68,170.68,162.80
12/21/21,165.66,6293459.00,159.50,167.28,158.37
12/20/21,157.23,4639263.00,151.16,158.48,151.00
12/17/21,157.91,24062440.00,154.62,158.31,149.44
12/16/21,156.38,9415120.00,166.25,167.73,153.60
12/15/21,168.14,6678543.00,167.64,168.96,160.18
12/14/21,167.96,5660417.00,168.30,169.91,164.50
12/13/21,171.04,7263664.00,178.25,180.00,168.89
12/10/21,180.42,3980441.00,178.15,181.10,175.85
12/09/21,181.46,3518025.00,182.09,185.30,179.28
12/08/21,186.49,4218671.00,186.00,187.50,182.14
12/07/21,183.14,6264558.00,185.61,187.50,182.02
12/06/21,180.85,9813848.00,167.28,181.93,162.85
12/03/21,166.75,6460855.00,168.98,170.73,162.14
12/02/21,169.60,5687601.00,161.36,170.30,160.49
12/01/21,163.08,7657589.00,174.01,180.13,162.03
11/30/21,172.54,10682740.00,176.41,180.64,170.92
11/29/21,180.08,5317368.00,176.88,180.70,175.90
11/26/21,173.86,6044126.00,167.76,174.64,167.04
11/24/21,179.89,4763328.00,175.63,182.78,175.00
11/23/21,178.27,6456729.00,181.14,183.73,175.25
11/22/21,181.73,12626360.00,190.44,190.76,176.72
11/19/21,196.42,8185488.00,196.60,199.36,190.50
11/18/21,204.33,4601086.00,199.34,205.00,196.00
11/17/21,199.11,6383375.00,207.00,212.58,198.40
11/16/21,207.04,4431316.00,205.59,209.93,203.47
11/15/21,207.21,7479309.00,206.20,209.24,204.16
11/12/21,206.54,12057830.00,192.47,208.16,192.06
11/11/21,191.61,5899031.00,195.20,197.93,190.77
11/10/21,192.22,6704083.00,190.23,195.00,189.28
11/09/21,194.68,9056091.00,201.44,201.50,187.50
11/08/21,200.32,12855320.00,203.35,211.34,199.75
11/05/21,201.62,27330520.00,186.15,203.30,185.94
11/04/21,178.45,9664613.00,175.95,179.44,173.96
11/03/21,172.87,2827068.00,171.89,173.75,170.93
11/02/21,172.87,3292058.00,174.95,175.30,170.58
11/01/21,174.60,4401097.00,170.50,175.44,170.50
10/29/21,170.66,2294417.00,171.39,171.39,168.85
10/28/21,171.70,2143659.00,170.20,171.85,168.71
10/27/21,169.10,3009842.00,170.74,172.65,168.88
10/26/21,171.14,2937893.00,170.40,172.00,167.90
10/25/21,169.24,2620794.00,166.69,170.33,166.65
10/22/21,166.64,2985991.00,169.30,169.44,165.16
10/21/21,170.50,2889355.00,169.07,171.53,167.70
10/20/21,169.76,2687022.00,170.06,171.94,168.20
10/19/21,170.74,2776646.00,172.57,172.81,170.06
10/18/21,172.32,2793704.00,167.50,172.70,167.11
10/15/21,169.18,3592734.00,171.90,172.95,168.58
10/14/21,170.50,4145257.00,175.24,176.75,170.04
10/13/21,173.58,3523610.00,173.00,175.19,171.80
10/12/21,172.75,6028098.00,172.69,175.90,171.23
10/11/21,166.67,2046310.00,170.00,171.54,166.63
10/08/21,169.97,2265114.00,170.10,174.10,169.48
10/07/21,169.60,2119612.00,170.00,171.27,168.60
10/06/21,167.25,2461482.00,161.39,167.32,160.63
10/05/21,164.74,4340100.00,165.67,166.59,162.43
10/04/21,164.50,4459382.00,171.99,172.26,164.03
10/01/21,173.01,4963044.00,170.31,173.20,168.55
09/30/21,167.75,2663690.00,168.10,169.50,165.71
09/29/21,168.07,2788740.00,170.10,171.22,166.55
09/28/21,168.58,4362803.00,172.52,173.56,166.90
09/27/21,174.26,3551430.00,175.00,176.32,172.02
09/24/21,175.88,4084868.00,174.53,176.96,173.61
09/23/21,175.13,5370786.00,171.55,176.00,170.50
09/22/21,169.96,4353595.00,170.03,171.81,167.37
09/21/21,169.29,8592501.00,164.00,170.01,162.96
09/20/21,161.64,6846832.00,162.24,166.54,159.45
09/17/21,166.59,20024680.00,169.30,170.00,163.61
09/16/21,168.15,6094825.00,165.26,169.45,165.04
09/15/21,166.37,5656017.00,162.32,166.63,160.49
09/14/21,163.30,4655503.00,160.66,164.70,159.41
